name,latitude,longitude,keyword_1,count_1,keyword_2,count_2,keyword_3,count_3
Islamabad,33.6995,73.0363,design,4.0,contemporary,3.0,modern,2.0
Peshawar,34.0151,71.5249,paint,4.0,sculptur,4.0,garden,3.0
Battagram,34.6724,73.0243,fair,3.0,visual art,0.0,fine art,0.0
Dhaka,23.8041,90.4152,contemporary,14.0,fine art,11.0,paint,6.0
Chittagong,22.3752,91.8349,craft,8.0,folk,7.0,contemporary,6.0
Khulna,22.8373,89.54,photograph,6.0,contemporary,4.0,design,3.0
Rangpur,25.7494,89.2611,architectur,5.0,20th century,2.0,design,2.0
Rajshahi,24.3746,88.6004,sculptur,14.0,craft,3.0,design,2.0
Kathmandu,27.7103,85.3222,contemporary,17.0,paint,13.0,architectur,12.0
Biratnagar,26.4525,87.2718,paint,2.0,craft,2.0,modern,2.0
Patan,27.6588,85.3247,architectur,11.0,craft,9.0,paint,5.0
Pokhara,28.2096,83.9856,immers,14.0,paint,8.0,craft,8.0
Janakpur,26.7271,85.9407,festival,36.0,craft,19.0,paint,17.0
Herat,34.3529,62.204,architectur,6.0,craft,5.0,photograph,4.0
Balkh,36.7551,66.8975,photograph,6.0,craft,4.0,decorativ,2.0
Jalal,34.4284,70.4578,photograph,5.0,immers,3.0,craft,2.0
Kabul,34.5553,69.2075,paint,11.0,modern,3.0,contemporary,1.0
Khost,33.3338,69.9372,immers,1.0,visual art,0.0,fine art,0.0
Mazar,36.6926,67.118,arte,2.0,draw,1.0,glass,1.0
Kunduz,36.7286,68.8681,photograph,5.0,craft,3.0,architectur,2.0
Multan,30.1864,71.4886,architectur,25.0,craft,14.0,modern,12.0
Lahore,31.5204,74.3587,paint,3.0,contemporary,3.0,craft,1.0
Karachi,24.8607,67.0011,photograph,4.0,contemporary,3.0,arte,3.0
Rawalpindi,33.5651,73.0169,paint,7.0,electronic,3.0,fine art,2.0
Faisalabad,31.4504,73.135,modern,4.0,illustrat,3.0,draw,3.0
Tehran,35.7219,51.3347,contemporary,10.0,modern,5.0,design,5.0
Shiraz,29.5926,52.5836,paint,6.0,wood,5.0,architectur,4.0
Tabriz,38.0792,46.2887,festival,32.0,architectur,26.0,design,16.0
Qom,34.6416,50.8746,paint,3.0,craft,2.0,wood,1.0
Isfahan,32.6539,51.666,craft,17.0,fine art,8.0,paint,7.0
Mashhad,36.2972,59.6067,paint,6.0,architectur,3.0,design,2.0
Dehiwala,6.8301,79.8801,fair,5.0,craft,3.0,festival,3.0
Colombo,6.9271,79.8612,contemporary,9.0,modern,9.0,draw,7.0
Bhutan,27.4716,89.6386,festival,13.0,photograph,8.0,modern,7.0
Maldives,4.1753,73.5091,craft,5.0,contemporary,5.0,photograph,4.0
Moratuwa,6.7881,79.8913,architectur,2.0,portrait,1.0,garden,1.0
Bandung,-6.9175,107.6191,modern,4.0,digital,2.0,sculptur,2.0
Surabaya,-7.2575,112.7521,festival,2.0,modern,1.0,visual art,0.0
Bekasi,-6.2734,106.9831,immers,8.0,interactiv,5.0,digital,1.0
Medan,3.5952,98.6722,architectur,11.0,design,5.0,ethnic,3.0
Jakarta,-6.1944,106.8229,contemporary,24.0,modern,11.0,design,7.0
Quy Nhon,13.783,109.2197,festival,13.0,architectur,7.0,ethnic,5.0
Hue,16.4637,107.5909,paint,11.0,contemporary,4.0,design,4.0
Can Tho,10.0452,105.7469,garden,7.0,craft,2.0,immers,2.0
Vung Tau,10.4114,107.1362,garden,2.0,craft,1.0,architectur,1.0
Nha Trang,12.2529,109.1899,architectur,5.0,draw,2.0,garden,2.0
Ho Chi Minh,10.8231,106.6297,contemporary,11.0,ethnic,11.0,paint,7.0
Hai Phong,20.8449,106.6881,festival,3.0,architectur,2.0,fine art,1.0
Hanoi,21.0278,105.8342,ethnic,11.0,contemporary,4.0,photograph,3.0
Bien Hoa,10.9574,106.8427,garden,6.0,design,2.0,arte,2.0
Da Nang,16.0544,108.2022,sculptur,6.0,architectur,5.0,garden,4.0
Buda,7.5377,125.3247,visual art,0.0,fine art,0.0,illustrat,0.0
Caloocan,14.7566,121.045,visual art,0.0,fine art,0.0,illustrat,0.0
Davao,7.0736,125.611,festival,5.0,craft,2.0,photograph,2.0
Quezon,14.676,121.0437,interactiv,5.0,paint,3.0,contemporary,3.0
Manila,14.5995,120.9842,contemporary,15.0,draw,6.0,paint,6.0
Petaling Jaya,3.1279,101.5945,fine art,5.0,visual art,4.0,paint,3.0
Shah Alam,3.0733,101.5185,festival,8.0,digital,6.0,draw,4.0
Ipoh,4.6005,101.0758,festival,12.0,visual art,4.0,paint,3.0
Subang Jaya,3.0567,101.5851,paint,2.0,glass,1.0,visual art,0.0
Kuching,1.5534,110.3595,design,2.0,paint,1.0,craft,1.0
Chiang Mai,18.7883,98.9853,contemporary,13.0,craft,12.0,paint,10.0
Hat Yai,7.0086,100.4747,immers,9.0,architectur,8.0,interactiv,6.0
Pak-Kret,13.9151,100.4993,visual art,0.0,fine art,0.0,illustrat,0.0
Nakhon,14.9738,102.0837,folk,3.0,photograph,3.0,modern,2.0
Nonthaburi,13.862,100.4959,architectur,4.0,wood,2.0,sculptur,2.0
Bangkok,13.7563,100.5018,design,17.0,photograph,11.0,contemporary,9.0
Chon,13.2017,101.2524,print,1.0,garden,1.0,interactiv,1.0
Udon,17.4294,102.9896,photograph,2.0,garden,2.0,draw,1.0
Samut Prakan,13.5954,100.6072,design,4.0,glass,3.0,fine art,2.0
Townships,15.8108,98.3088,paint,6.0,contemporary,4.0,visual art,3.0
Mawlamyine,16.4543,97.644,architectur,15.0,wood,5.0,photograph,4.0
Yangon,16.8409,96.1735,design,9.0,contemporary,8.0,fair,6.0
Pyi,19.7633,96.0785,garden,5.0,festival,4.0,paint,3.0
Mandalay,21.9588,96.0891,design,5.0,photograph,5.0,wood,4.0
Phnom,11.5564,104.9282,contemporary,14.0,festival,5.0,paint,4.0
Siem Reap,13.3633,103.8564,modern,23.0,craft,13.0,paint,11.0
Sihanouk,10.6268,103.5116,ethnic,9.0,craft,8.0,fine art,1.0
Battambang,13.0957,103.2022,paint,10.0,contemporary,5.0,photograph,5.0
